DIRECCIÓN,ESQUINA,COLONIA,ALCALDIA,TIPO DE POSTE,BOTON,ALTAVOZ,LONGITUD ,LATITUD ,ESTATUS CONECTIVIDAD
ING. NORBERTO GAYOL,EXCELSIOR,GUADALUPE INSURGENTES,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,130871","19,474682",WIFI GRATUITO_ACTIVO
AV. ALFREDO ROBLES DOMÍNGUEZ,C. CARUSO,VALLEJO,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,129483","19,469321",WIFI GRATUITO_ACTIVO
EJE CENTRAL LAZARO CARDENAS,AV. OTHON DE MENDIZABAL PTE.,VALLEJO UNIDAD LA PATERA,GUSTAVO A. MADERO,9m,SIN BOTON,CON ALTAVOZ,"-99,150997","19,504304",WIFI GRATUITO_ACTIVO
AV. 521,3ra. CDA. AV. 515,U. H. SAN JUAN DE ARAGON 1ra. SECC.,GUSTAVO A. MADERO,9m,SIN BOTON,SIN ALTAVOZ,"-99,091869","19,457976",WIFI GRATUITO_ACTIVO
ENTRE AVENIDA 416 Y AVENIDA FRANCISCO MORAZAN,AVENIDA 499,U.H. SAN JUAN DE ARAGON VII SECC.,GUSTAVO A. MADERO,9m,SIN BOTON,CON ALTAVOZ,"-99,070553","19,47322",WIFI GRATUITO_ACTIVO
C. CAPULTITLAN,C. TECPAN DE GALEANA,SAN FELIPE DE JESUS,GUSTAVO A. MADERO,9m,CON BOTON,SIN ALTAVOZ,"-99,074156","19,494814",WIFI GRATUITO_ACTIVO
C. PUERTO TAMPICO,AVENIDA JOSE LORETO FABELA,AMP. CASAS ALEMAN,GUSTAVO A. MADERO,9m,SIN BOTON,CON ALTAVOZ,"-99,078869","19,475813",WIFI GRATUITO_ACTIVO
C. VOLCAN ACATENANGO,AV. FRANCISCO MORAZAN,AMPLIACION PROVIDENCIA,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,072353","19,476881",WIFI GRATUITO_ACTIVO
C. PLAYA,C. NAVE,U. H. PATERA VALLEJO,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,155919","19,503872",WIFI GRATUITO_ACTIVO
C. JAIME NUNO,AVENIDA TECNOLOGICO,ZONA ESCOLAR,GUSTAVO A. MADERO,9m,SIN BOTON,CON ALTAVOZ,"-99,147149","19,542676",WIFI GRATUITO_ACTIVO
 CALZ. DE GUADALUPE,AV. RÍO CONSULADO,VALLE GÓMEZ,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,126532","19,46093",WIFI GRATUITO_ACTIVO
C. 47,AV.  FCO. MORAZAN,IGNACIO ZARAGOZA,VENUSTIANO CARRANZA,9m,SIN BOTON,CON ALTAVOZ,"-99,088412","19,411435",WIFI GRATUITO_ACTIVO
AV. JOSE LORETO FABELA,CAMINO A SAN JUAN DE ARAGON,AMPLIACION CASAS ALEMAN,GUSTAVO A. MADERO,9m,SIN BOTON,CON ALTAVOZ,"-99,079077","19,473546",WIFI GRATUITO_ACTIVO
C. ITURBIDE,CDA. FRANCISCO MORENO,GUSTAVO A MADERO,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,112192","19,483496",WIFI GRATUITO_ACTIVO
C. IZTACCIHUATL,C. ITZCOATL,SANTA ISABEL TOLA,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,115095","19,495577",WIFI GRATUITO_ACTIVO
C. 28-A,AV. 3-A,SANTA ROSA,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,169834","19,523919",WIFI GRATUITO_ACTIVO
C. VOLCAN HUITZUCO,C. BARAJAS,U.H LA PRADERA,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,063398","19,471329",WIFI GRATUITO_ACTIVO
C. BALDERAS,C. AYUNTAMIENTO,CENTRO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,147999","19,431178",WIFI GRATUITO_ACTIVO
C. AYUNTAMIENTO,C. LUIS MOYA,CENTRO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,145396","19,430924",WIFI GRATUITO_ACTIVO
AV. PRADO NORTE,C. BARRILACO,LOMAS DE CHAPULTEPEC 3a. SECCIÓN,MIGUEL HIDALGO,9m,CON BOTON,CON ALTAVOZ,"-99,20779","19,42789",WIFI GRATUITO_ACTIVO
AV. CANAL DE MIRAMONTES (EJE 2 ORIENTE CANAL DE MIRAMONTES),C. LIRA,PRADOS DE COYOACAN,COYOACAN,9m,CON BOTON,CON ALTAVOZ,"-99,131078","19,318667",WIFI GRATUITO_ACTIVO
C. CHIRICANOS,C. ITAGUEÑOS,FRANCISCO VILLA,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,203791","19,385551",WIFI GRATUITO_ACTIVO
C. FRANZ HALS,CDA. FRANZ HALS,ALFONSO XIII,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,195758","19,375965",WIFI GRATUITO_ACTIVO
C. 1 DE NOVIEMBRE,CAM. REAL A TOLUCA,LA CONCHITA,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,207046","19,390734",WIFI GRATUITO_ACTIVO
JOSE ESPINOZA,PARALELA 7,CRISTO REY,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,200244","19,389887",WIFI GRATUITO_ACTIVO
C. SANTA BALBINA,AV. RIO SANTO DOMINGO,MOLINO DE SANTO DOMINGO,ALVARO OBREGON,9m,SIN BOTON,CON ALTAVOZ,"-99,209462","19,395326",WIFI GRATUITO_ACTIVO
AV. ESCUADRÓN 201,C. 4,CRISTO REY,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,19936","19,387171",WIFI GRATUITO_ACTIVO
C. ARTIFICIOS,PROL. ACUEDUCTO (CALLE CERRADA),ACUEDUCTO,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,209942","19,397611",WIFI GRATUITO_ACTIVO
C. MONDOVIES,C. ANTIGUA VIA LA VENTA,ISIDRO FABELA,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,209","19,385736",WIFI GRATUITO_ACTIVO
C. PRINCIPAL,C. CUERNAVACA,LOMAS DE BECERRA,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,215607","19,384048",WIFI GRATUITO_ACTIVO
C. NICANOR ARVIDE,PRÓL.. AV. SAN ANTONIO,MINAS DE CRISTO REY,ALVARO OBREGON,9m,SIN BOTON,CON ALTAVOZ,"-99,202111","19,381752",WIFI GRATUITO_ACTIVO
C. BARRANCA DEL TECOLOTE,C. JESUS ROCHA,OLIVAR DEL CONDE 2a. SECC.,ALVARO OBREGON,9m,SIN BOTON,CON ALTAVOZ,"-99,2135","19,374725",WIFI GRATUITO_ACTIVO
AV. REAL DE TOLUCA,AV. DIVISIÓN DEL NORTE,BOSQUES 1a. SECCIÓN,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,196862","19,393368",WIFI GRATUITO_ACTIVO
